j'aimerais,me gustaría
je devrais,tendré que
que je parle,que hable
que tu parles,que hables
qu'il parle,que hable
que nous parlions,que hablemos
qu'ils parlent,que hablen
que je mange,que coma
que tu manges,que comas
qu'il mange,que coma
que nous mangions,que comamos
qu'ils mangent,que coman
que je vive,que viva
que tu vives,que vivas
qu'il vive,que viva
que nous vivions,que vivamos
qu'ils vivent,que vivan
que je sois (temp.),que esté
que tu sois (temp.),que estés
qu'il soit (temp.),que esté
que nous soyons (temp.),que estemos
qu'ils soient (temp.),que estén
que j'aie (tener),que tenga
que tu aies (tener),que tengas
qu'il ait (tener),que tenga
que nous ayons (tener),que tengamos
qu'ils aient (tener),que tengan
que j'aille,que vaya
que tu ailles,que vayas
qu'il aille,que vaya
que nous allions,que vayamos
qu'ils aillent,que vayan
que je fasse,que haga
que tu fasses,que hagas
qu'il fasse,que haga
que nous fassions,que hagamos
qu'ils fassent,que hagan
que je puisse,que pueda
que tu puisses,que puedas
qu'il puisse,que pueda
que nous puissions,que podamos
qu'ils puissent,que puedan
que je veuille,que quiera
que tu veuilles,que quieras
qu'il veuille,que quiera
que nous voulions,que queramos
qu'ils veuillent,que quieran
que je sache,que sepa
que tu saches,que sepas
qu'il sache,que sepa
que nous sachions,que sepamos
qu'ils sachent,que sepan
que je dorme,que duerma
que tu dormes,que duermas
qu'il dorme,que duerma
que nous dormions,que durmamos
qu'ils dorment,que duerman
que je pense,que piense
que tu penses,que pienses
qu'il pense,que piense
que nous pensions,que pensemos
qu'ils pensent,que piensen
que je suive,que siga
que tu suives,que sigas
qu'il suive,que siga
que nous suivions,que sigamos
qu'ils suivent,que sigan
que j'entende,que oiga
que tu entendes,que oigas
qu'il entende,que oiga
que nous entendions,que oigamos
qu'ils entendent,que oigan
que je lise,que lea
que tu lises,que leas
qu'il lise,que lea
que nous lisions,que leamos
qu'ils lisent,que lean
I hope that... (subj. trigger),espero que...
I want you to... (subj. trigger),quiero que...
It's important that... (subj. trigger),es importante que...
hopefully / I hope (subj. trigger),ojalá...
I hope you sleep well,espero que duermas bien
I want you to come,quiero que vengas
I hope he does it,espero que lo haga
It's important that we eat,es importante que comamos
